,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations
LLY,254200000.0,-1507700000.0,100000.0,-200000.0,-2970400000.0,,7268000000.0,9791900000.0,-2456400000.0,-2878800000.0,-2878800000.0,-25100000.0,-1345500000.0,-1345500000.0,-1507700000.0,-1507700000.0,-500000.0,-400000.0,,-100000.0,100000.0,-200000.0,-2802200000.0,-2802200000.0,56800000.0,5000000.0,132000000.0,-127000000.0,-2546700000.0,-2546700000.0,3224600000.0,3224600000.0,-3674100000.0,,,,,,,,,467300000.0,136100000.0,585700000.0,585700000.0,6637700000.0
TMO,2992000000.0,-37000000.0,-1285000000.0,4919000000.0,-465000000.0,,9879000000.0,2011000000.0,7874000000.0,3526000000.0,3526000000.0,91000000.0,-162000000.0,,-37000000.0,-37000000.0,3634000000.0,-498000000.0,-498000000.0,4132000000.0,-787000000.0,4919000000.0,891000000.0,892000000.0,0.0,1329000000.0,1361000000.0,-32000000.0,-438000000.0,-465000000.0,3457000000.0,3458000000.0,489000000.0,,,,,,,,,97000000.0,84000000.0,728000000.0,728000000.0,1970000000.0
ABT,2626000000.0,-302000000.0,-1000000.0,2000000.0,-689000000.0,,8522000000.0,7511000000.0,1005000000.0,-1397000000.0,-1397000000.0,0.0,-1030000000.0,-1030000000.0,-302000000.0,-302000000.0,-70000000.0,-71000000.0,,1000000.0,-1000000.0,2000000.0,-913000000.0,-913000000.0,6000000.0,-210000000.0,,,-689000000.0,-689000000.0,3315000000.0,3315000000.0,110000000.0,,,,,,234000000.0,222000000.0,222000000.0,,113000000.0,792000000.0,792000000.0,1776000000.0
DHR,1746000000.0,0.0,0.0,1552000000.0,-371000000.0,,4615000000.0,1528000000.0,3055000000.0,1322000000.0,1322000000.0,-17000000.0,-226000000.0,,85000000.0,0.0,1519000000.0,-33000000.0,,1552000000.0,0.0,1552000000.0,-384000000.0,-384000000.0,12000000.0,-48000000.0,0.0,-48000000.0,-348000000.0,-371000000.0,2117000000.0,2117000000.0,146000000.0,,,555000000.0,143000000.0,143000000.0,184000000.0,-151000000.0,-151000000.0,,63000000.0,623000000.0,623000000.0,1183000000.0
BMY,1604000000.0,,-10068000000.0,5334000000.0,-370000000.0,,10218000000.0,15726000000.0,-5513000000.0,-6029000000.0,-6029000000.0,,-1262000000.0,-1262000000.0,,,-4734000000.0,-406000000.0,0.0,-4328000000.0,-10068000000.0,5740000000.0,-1458000000.0,-1458000000.0,,340000000.0,418000000.0,-78000000.0,,,1974000000.0,1974000000.0,-1654000000.0,,,-414000000.0,-414000000.0,-90000000.0,71000000.0,19000000.0,,1716000000.0,133000000.0,977000000.0,977000000.0,1085000000.0
AMGN,961000000.0,,0.0,,-642000000.0,,9129000000.0,9445000000.0,-316000000.0,-1226000000.0,-1226000000.0,57000000.0,-1283000000.0,-1283000000.0,,,0.0,,,0.0,0.0,,-693000000.0,-693000000.0,2000000.0,,,,-642000000.0,-642000000.0,1603000000.0,1603000000.0,-1866000000.0,-76000000.0,-577000000.0,1291000000.0,-774000000.0,-484000000.0,119000000.0,-1075000000.0,-1075000000.0,250000000.0,125000000.0,1132000000.0,1132000000.0,1333000000.0
GILD,3122000000.0,-230000000.0,-8000000.0,,-205000000.0,,7564000000.0,7330000000.0,229000000.0,-1263000000.0,-1263000000.0,-63000000.0,-994000000.0,-994000000.0,-198000000.0,-230000000.0,-8000000.0,,,-8000000.0,-8000000.0,,-1835000000.0,-1836000000.0,12000000.0,-1033000000.0,363000000.0,-1396000000.0,-205000000.0,-205000000.0,3327000000.0,3327000000.0,-604000000.0,,,-490000000.0,-95000000.0,-95000000.0,-123000000.0,179000000.0,179000000.0,806000000.0,230000000.0,687000000.0,687000000.0,2183000000.0
VRTX,348600000.0,-130900000.0,-1400000.0,,-149400000.0,389400000.0,5087800000.0,4947800000.0,132700000.0,-77200000.0,-77200000.0,1100000.0,,,-130900000.0,-130900000.0,-1400000.0,,,-1400000.0,-1400000.0,,-288100000.0,-288100000.0,-15900000.0,-122800000.0,1107800000.0,-1230600000.0,-149400000.0,-149400000.0,498000000.0,498000000.0,-947800000.0,105800000.0,,-626200000.0,38300000.0,38300000.0,-77400000.0,-99400000.0,-99400000.0,23100000.0,157600000.0,55700000.0,55700000.0,1191100000.0
REGN,880000000.0,-1190900000.0,,,-290700000.0,,3123700000.0,2513100000.0,610900000.0,-780100000.0,-780100000.0,0.0,-92700000.0,-92700000.0,-687400000.0,-1190900000.0,,,,,,,220300000.0,220300000.0,,511300000.0,2555000000.0,-2043700000.0,0.0,,1170700000.0,1170700000.0,5900000.0,,,-24700000.0,-24700000.0,-24700000.0,2100000.0,-51200000.0,-51200000.0,136900000.0,249300000.0,145000000.0,145000000.0,844600000.0
BIIB,401700000.0,,0.0,0.0,-110200000.0,,3008500000.0,3862800000.0,-856800000.0,-137000000.0,-137000000.0,-140000000.0,,,,,0.0,,,0.0,0.0,0.0,-1231700000.0,-1231700000.0,22700000.0,-1144200000.0,23100000.0,-1167300000.0,-43900000.0,-43900000.0,511900000.0,511900000.0,-108700000.0,,,203800000.0,,,-29400000.0,-21000000.0,27800000.0,199900000.0,59600000.0,200200000.0,200200000.0,-48900000.0
